	are you there	Yes, I'm here for you.	Unnamed: 2	Unnamed: 3
0	stop	<stop>		
1	battery level	<battery>		
2	what is the battery level	<battery>		
3	what is the battery	<battery>		
4	what|how is the battery	<battery>		
5	what|how is the battery level	<battery>		
6	how much battery do I have	<battery>		
7	? read document ? high quality ? ?	<ms_ocr>		
8	? read ? ? continuous ? ?	<continuous_ocr>		
9	? read ? document	<google_ocr>		
10	read this	<google_ocr>		
11	read this document	<google_ocr>		
12	? read this ?	<google_ocr>		
13	what time is it|now ?	<time_now>		
14	what date|day is it|today ?	<date_now>		
15	what is the time	<time_now>		
16	what is the time ? now|today	<time_now>		
17	what is the time of the day	<time_now>		
18	what ? ? time ? ? ?	<time_now>		
19	? tell me what|the ? ? time ? ?	<time_now>		
20	time	<time_now>		
21	do you have the time	<time_now>		
22	what day is today	<date_now>		
23	what ? ? day|date	<date_now>		
24	what ? ? today	<date_now>		
25	day|date	<date_now>		
26	turn ? ? flashlight ? ? on	<flashlight_on>		
27	turn ? ? on ? ? flashlight	<flashlight_on>		
28	turn ? ? flashlight ? ? off	<flashlight_off>		
29	turn ? ? off ? ? flashlight	<flashlight_off>		
30	is ? ? flashlight ? ? on|off|power|powered|deactivated|activated	<flashlight_status>		
31	what is the flashlight status|state|power|powered	<flashlight_status>		
32	? ? plan|minutes ? ?	<account_usage>		
33	? ? plan|minutes ? ?	<account_usage>		
34	? ? agent ? plan|minutes|minute ? ?	<account_usage>		
35	how many agent call minutes|minute|time|hours do I have this month	<account_usage>		
36	how many ? call minutes|minute|time|hours do I have left ? ?	<account_usage>		
37	how much time|minutes|minute|hour|agent|call|calls do I have left ? ?	<account_usage>		
38	how many minutes do I have left on my account	<account_usage>		
39	what is my account balance	<account_usage>		
40	? account balance ?	<account_usage>		
41	? account ? remaining ?	<account_usage>		
42	how many minutes do I have left|remaining|month	<account_usage>		
43	what minutes do I have left|remaining|month	<account_usage>		
44	how ? ? ? minute|minutes ? ? ? ?	<account_usage>		
45	how many minute|minutes ? ? ? ?	<account_usage>		
46	what version are we on	<version>		
47	what version are you	<version>		
48	what version ? ?	<version>		
49	version	<version>		
50	chloe version	<version>		
51	version number	<version>		
52	chloe version number	<version>		
